"mu_x1","sd_x1","mu_x2","sd_x2","b_fix","logLike"
1,0.25,2,0.25,0.01,-744.139644628977
1,0.25,2,0.25,0.01,-744.139644628977
0.952409734341245,0.351867593763985,1.99710881768948,0.244397117549734,0.00939911277749309,-721.578437097691
0.998962618950954,0.384547388774517,1.94080465520627,0.212591261368786,0.00773652708212857,-720.726895379785
0.9447018242197,0.363644238324757,1.82745399574093,-0.00306115248512684,-0.00395197584782241,-716.707409024219
0.940077399832459,0.36177291683766,1.81880872343733,-0.00913112966351931,0.0138143033354989,-716.572907049438
0.928049326196695,0.35655233589657,1.79790087624786,0.000194397022469399,0.0124834225536604,-716.477911002948
0.852970157987456,0.347045540274675,1.79686884512631,-0.21763735285265,0.00964761372417547,-715.945467884373
0.876825972550425,0.358190883544187,1.82391512957316,-0.025200993092708,0.00780535237262721,-714.815560342726
0.906777096761956,0.367628158639205,1.82043090738221,-0.0803696986609625,0.00820361954805129,-714.467482606596
0.887989652432345,0.361070004518841,1.81033372845033,-0.0970089852133577,0.00836767721363062,-714.272410685452
0.885182244748346,0.359783278313762,1.80809092379866,-0.0974874193866992,0.0083232574797589,-714.270147555526
0.885371453391259,0.359827468177073,1.80827930593662,-0.0978817530442858,0.00832549910971655,-714.270133373262
0.885365864639985,0.359804435492499,1.80829327584294,-0.0978579343756171,0.00832517146817203,-714.270133158556
0.885366760326392,0.359805400942937,1.80828633536204,-0.0978579020704354,0.00832517146966916,-714.270133103174
